 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000           0.000           2.000           2.000           2.000;
     1    0.009          26.313           4.000           2.000           2.000;
     2    0.018          61.750          21.688          14.500          11.313;
     3    0.027          97.156          57.813          53.781          50.313;
     4    0.035         132.563          97.844          93.156          88.438;
     5    0.044         168.000         134.844         128.500         122.344;
     6    0.053         203.406         170.063         162.375         155.313;
     7    0.062         238.813         204.344         197.906         191.031;
     8    0.071         274.250         238.531         232.500         225.094;
     9    0.080         309.656         272.750         266.563         259.313;
    10    0.089         345.063         307.125         300.063         292.219;
    11    0.097         380.500         341.906         334.469         326.656;
    12    0.106         415.906         376.750         368.313         359.813;
    13    0.115         451.313         411.344         402.281         393.344;
    14    0.124         486.750         446.031         435.969         426.656;
    15    0.133         522.156         480.688         470.250         460.750;
    16    0.142         557.563         515.094         505.219         496.000;
    17    0.151         593.000         549.594         539.125         529.719;
    18    0.159         628.406         583.938         573.563         564.406;
    19    0.168         663.813         618.250         607.938         598.969;
    20    0.177         699.250         652.625         642.250         633.750;
    21    0.186         734.656         686.688         676.625         668.313;
    22    0.195         770.063         721.219         711.313         703.094;
    23    0.204         805.500         755.500         745.563         737.125;
    24    0.213         840.906         789.938         779.875         771.656;
    25    0.221         876.313         824.500         814.031         805.156;
    26    0.230         911.750         858.781         847.875         838.563;
    27    0.239         947.156         893.000         881.844         872.125;
    28    0.248         982.563         927.156         916.188         906.750;
    29    0.257        1018.000         961.688         950.063         940.219;
    30    0.266        1053.406         996.125         985.094         975.219;
    31    0.274        1088.813        1030.406        1019.219        1009.313;
    32    0.283        1124.250        1064.688        1053.688        1043.656;
    33    0.292        1159.656        1098.844        1088.031        1077.531;
    34    0.301        1195.063        1133.063        1122.188        1112.000;
    35    0.310        1230.500        1167.156        1155.813        1145.438;
    36    0.319        1265.906        1201.156        1189.875        1179.375;
    37    0.328        1301.313        1235.063        1223.125        1212.000;
    38    0.336        1336.750        1269.281        1257.063        1245.563;
    39    0.345        1372.156        1303.438        1290.594        1279.188;
    40    0.354        1407.563        1337.531        1324.375        1312.813;
    41    0.363        1443.000        1371.531        1358.250        1347.031;
    42    0.372        1478.406        1405.813        1392.750        1381.250;
    43    0.381        1513.813        1439.844        1426.688        1415.813;
    44    0.390        1549.250        1473.875        1461.063        1450.344;
    45    0.398        1584.656        1507.719        1495.344        1484.656;
    46    0.407        1620.063        1541.906        1529.344        1518.656;
    47    0.416        1655.500        1575.844        1562.938        1552.000;
    48    0.425        1690.906        1609.844        1596.375        1584.625;
    49    0.434        1726.313        1643.563        1629.750        1617.594;
    50    0.443        1761.750        1677.688        1663.500        1651.156;
    51    0.452        1797.156        1711.656        1697.688        1685.438;
    52    0.460        1832.563        1745.719        1731.375        1719.375;
    53    0.469        1868.000        1779.563        1765.656        1753.844;
    54    0.478        1903.406        1813.750        1799.969        1788.313;
    55    0.487        1938.813        1847.813        1834.625        1823.531;
    56    0.496        1974.250        1882.000        1869.125        1858.156;
    57    0.505        2009.656        1915.906        1903.531        1892.438;
    58    0.514        2045.063        1950.000        1937.969        1926.906;
    59    0.522        2080.500        1983.719        1971.781        1960.500;
    60    0.531        2115.906        2017.500        2005.188        1993.281;
    61    0.540        2151.313        2051.094        2038.688        2026.813;
    62    0.549        2186.750        2085.063        2072.281        2059.781;
    63    0.558        2222.156        2119.188        2106.219        2093.406;
    64    0.567        2257.563        2153.563        2140.406        2127.500;
    65    0.576        2293.000        2187.719        2174.563        2161.438;
    66    0.584        2328.406        2222.000        2209.000        2195.781;
    67    0.593        2363.813        2256.063        2243.063        2230.063;
    68    0.602        2399.250        2290.000        2277.375        2264.469;
    69    0.611        2434.656        2323.875        2311.469        2298.500;
    70    0.620        2470.063        2358.000        2345.125        2331.563;
    71    0.629        2505.500        2392.313        2378.969        2365.031;
    72    0.638        2540.906        2426.531        2412.563        2398.219;
    73    0.646        2576.313        2460.625        2446.188        2431.656;
    74    0.655        2611.750        2494.531        2479.719        2464.563;
    75    0.664        2647.156        2528.531        2513.500        2498.219;
    76    0.673        2682.563        2562.469        2547.375        2532.344;
    77    0.682        2718.000        2596.750        2581.375        2566.625;
    78    0.691        2753.406        2631.031        2616.188        2602.063;
    79    0.699        2788.813        2665.625        2650.969        2637.438;
    80    0.708        2824.250        2700.156        2685.563        2672.156;
    81    0.717        2859.656        2734.625        2721.000        2708.000;
    82    0.726        2895.063        2769.125        2755.313        2742.281;
    83    0.735        2930.500        2803.375        2789.125        2775.500;
    84    0.744        2965.906        2837.813        2823.188        2809.031;
    85    0.753        3001.313        2871.906        2857.344        2842.781;
    86    0.761        3036.750        2906.281        2891.281        2876.500;
    87    0.770        3072.156        2940.906        2925.625        2910.688;
    88    0.779        3107.563        2975.438        2960.688        2945.875;
    89    0.788        3143.000        3010.031        2994.969        2980.000;
    90    0.797        3178.406        3044.594        3030.250        3015.969;
    91    0.806        3213.813        3078.938        3065.469        3051.313;
    92    0.815        3249.250        3113.500        3100.781        3087.438;
    93    0.823        3284.656        3147.875        3134.531        3120.750;
    94    0.832        3320.063        3182.594        3168.781        3154.719;
    95    0.841        3355.500        3217.281        3202.594        3188.063;
    96    0.850        3390.906        3251.750        3237.063        3222.063;
    97    0.859        3426.313        3286.313        3271.344        3255.781;
    98    0.868        3461.750        3320.563        3305.750        3289.875;
    99    0.877        3497.156        3354.531        3339.406        3323.500;
   100    0.885        3532.563        3388.625        3373.719        3358.125;
   101    0.894        3568.000        3422.750        3408.313        3393.125;
   102    0.903        3603.406        3457.156        3442.938        3428.500;
   103    0.912        3638.813        3491.500        3477.844        3464.000;
   104    0.921        3674.250        3526.156        3512.156        3498.406;
   105    0.930        3709.656        3560.563        3546.000        3531.625;
   106    0.939        3745.063        3594.719        3579.438        3564.469;
   107    0.947        3780.500        3628.813        3612.906        3597.344;
   108    0.956        3815.906        3662.813        3646.844        3630.906;
   109    0.965        3851.313        3697.063        3681.031        3664.750;
   110    0.974        3886.750        3731.375        3714.906        3698.625;
   111    0.983        3922.156        3765.844        3749.406        3732.969;
   112    0.992        3957.563        3800.094        3783.688        3767.281;
   113    1.001        3993.000        3834.156        3818.344        3802.750;
   114    1.009        4028.406        3868.094        3852.875        3837.500;
   115    1.018        4063.813        3902.063        3887.688        3872.625;
   116    1.027        4099.250        3936.156        3921.625        3906.094;
   117    1.036        4134.656        3970.375        3954.969        3939.063;
   118    1.045        4170.063        4004.813        3989.250        3972.844;
   119    1.054        4205.500        4039.094        4023.188        4006.469;
   120    1.063        4240.906        4073.375        4057.438        4040.656;
   121    1.071        4276.313        4107.313        4090.719        4073.719;
   122    1.080        4311.750        4141.344        4124.781        4107.813;
   123    1.089        4347.156        4175.063        4158.688        4141.563;
   124    1.098        4382.563        4208.875        4192.938        4176.000;
   125    1.107        4418.000        4242.750        4227.281        4211.188;
   126    1.116        4453.406        4277.000        4262.594        4246.844;
   127    1.124        4488.813        4311.219        4297.469        4281.469;
   128    1.133        4524.250        4345.688        4331.438        4315.094;
   129    1.142        4559.656        4379.781        4365.344        4348.500;
   130    1.151        4595.063        4413.938        4399.344        4382.250;
   131    1.160        4630.500        4447.781        4432.500        4414.406;
   132    1.169        4665.906        4481.875        4466.219        4448.125;
   133    1.178        4701.313        4515.844        4499.938        4481.500;
   134    1.186        4736.750        4550.219        4534.406        4515.906;
   135    1.195        4772.156        4584.375        4568.625        4549.656;
   136    1.204        4807.563        4618.313        4602.813        4584.094;
   137    1.213        4843.000        4652.094        4637.063        4618.844;
   138    1.222        4878.406        4685.813        4670.875        4652.875;
   139    1.231        4913.813        4719.406        4704.656        4686.313;
   140    1.240        4949.250        4753.531        4738.250        4719.563;
   141    1.248        4984.656        4787.656        4771.969        4752.656;
   142    1.257        5020.063        4822.156        4806.000        4786.406;
   143    1.266        5055.500        4856.438        4839.813        4819.906;
   144    1.275        5090.906        4890.531        4873.469        4853.125;
   145    1.284        5126.313        4924.563        4907.531        4887.250;
   146    1.293        5161.750        4958.438        4941.188        4920.656;
   147    1.302        5197.156        4992.313        4975.406        4954.969;
   148    1.310        5232.563        5026.344        5010.438        4990.813;
   149    1.319        5268.000        5060.594        5045.563        5026.656;
   150    1.328        5303.406        5094.781        5080.250        5061.500;
   151    1.337        5338.813        5129.156        5114.250        5095.438;
   152    1.346        5374.250        5163.219        5148.063        5129.063;
   153    1.355        5409.656        5197.500        5181.625        5162.125;
   154    1.364        5445.063        5231.438        5215.125        5195.281;
   155    1.372        5480.500        5265.656        5248.938        5228.594;
   156    1.381        5515.906        5299.844        5283.063        5262.750;
   157    1.390        5551.313        5334.563        5317.938        5297.594;
   158    1.399        5586.750        5369.250        5352.375        5332.000;
   159    1.408        5622.156        5403.625        5387.344        5367.469;
   160    1.417        5657.563        5438.094        5422.531        5403.313;
   161    1.426        5693.000        5472.281        5457.125        5438.094;
   162    1.434        5728.406        5506.313        5490.938        5472.063;
   163    1.443        5763.813        5540.438        5524.219        5504.781;
   164    1.452        5799.250        5574.594        5558.438        5538.844;
   165    1.461        5834.656        5608.875        5592.375        5572.156;
   166    1.470        5870.063        5643.125        5626.313        5605.969;
   167    1.479        5905.500        5677.750        5660.469        5640.125;
   168    1.488        5940.906        5712.031        5695.031        5674.594;
   169    1.496        5976.313        5746.313        5729.563        5708.906;
   170    1.505        6011.750        5780.688        5763.844        5743.563;
   171    1.514        6047.156        5814.938        5799.188        5779.438;
   172    1.523        6082.563        5849.531        5834.375        5815.344;
   173    1.532        6118.000        5884.094        5870.156        5852.063;
   174    1.541        6153.406        5918.719        5905.281        5887.531;
   175    1.549        6188.813        5953.188        5938.781        5920.563;
   176    1.558        6224.250        5987.188        5972.594        5953.938;
   177    1.567        6259.656        6021.219        6006.313        5987.438;
   178    1.576        6295.063        6055.000        6040.219        6020.875;
   179    1.585        6330.500        6089.094        6073.969        6054.531;
   180    1.594        6365.906        6123.313        6107.844        6088.281;
   181    1.603        6401.313        6157.969        6142.438        6122.875;
   182    1.611        6436.750        6192.375        6177.406        6157.625;
   183    1.620        6472.156        6226.594        6212.063        6193.000;
   184    1.629        6507.563        6260.781        6247.063        6228.531;
   185    1.638        6543.000        6294.875        6282.000        6264.031;
   186    1.647        6578.406        6329.094        6316.219        6298.656;
   187    1.656        6613.813        6363.250        6349.563        6331.188;
   188    1.665        6649.250        6397.750        6384.250        6365.688;
   189    1.673        6684.656        6431.813        6418.031        6399.031;
   190    1.682        6720.063        6465.969        6452.156        6433.156;
   191    1.691        6755.500        6499.688        6486.219        6467.313;
   192    1.700        6790.906        6533.781        6520.313        6500.969;
   193    1.709        6826.313        6567.625        6554.500        6535.438;
   194    1.718        6861.750        6601.813        6588.344        6569.438;
   195    1.727        6897.156        6636.031        6623.031        6604.344;
   196    1.735        6932.563        6670.406        6657.969        6639.594;
   197    1.744        6968.000        6704.875        6692.688        6674.875;
   198    1.753        7003.406        6739.063        6726.813        6708.813;
   199    1.762        7038.813        6773.219        6760.281        6741.594;
   200    1.771        7074.250        6806.906        6794.250        6775.750;
   201    1.780        7109.656        6840.719        6827.438        6808.219;
   202    1.789        7145.063        6874.531        6861.094        6841.625;
   203    1.797        7180.500        6908.531        6893.719        6873.438;
   204    1.806        7215.906        6942.531        6927.781        6907.531;
   205    1.815        7251.313        6976.719        6961.906        6941.625;
   206    1.824        7286.750        7010.688        6995.625        6975.594;
   207    1.833        7322.156        7044.969        7030.344        7010.969;
   208    1.842        7357.563        7078.938        7065.281        7046.313;
   209    1.851        7393.000        7113.031        7099.656        7081.281;
   210    1.859        7428.406        7147.000        7133.313        7114.500;
   211    1.868        7463.813        7181.406        7167.656        7148.375;
   212    1.877        7499.250        7215.625        7201.531        7181.625;
   213    1.886        7534.656        7249.969        7235.563        7215.531;
   214    1.895        7570.063        7283.875        7269.281        7249.031;
   215    1.904        7605.500        7317.969        7302.781        7282.219;
   216    1.913        7640.906        7351.656        7336.500        7316.000;
   217    1.921        7676.313        7385.469        7369.844        7349.156;
   218    1.930        7711.750        7419.281        7403.719        7383.375;
   219    1.939        7747.156        7453.750        7439.125        7419.406;
   220    1.948        7782.563        7488.219        7474.656        7456.000;
   221    1.957        7818.000        7522.625        7509.469        7490.844;
   222    1.966        7853.406        7557.063        7543.688        7524.656;
   223    1.974        7888.813        7591.219        7578.156        7558.875;
   224    1.983        7924.250        7625.344        7611.375        7591.813;
   225    1.992        7959.656        7659.250        7645.188        7625.469;
   226    2.001        7995.063        7693.594        7679.281        7659.750;
   227    2.010        8030.500        7727.875        7713.125        7693.094;
   228    2.019        8065.906        7762.281        7747.094        7727.438;
   229    2.028        8101.313        7796.531        7781.313        7762.125;
   230    2.036        8136.750        7830.750        7817.000        7798.625;
   231    2.045        8172.156        7865.125        7852.125        7835.000;
   232    2.054        8207.563        7899.375        7886.625        7869.906;
   233    2.063        8243.000        7933.781        7921.688        7905.344;
   234    2.072        8278.406        7968.281        7956.125        7939.719;
   235    2.081        8313.813        8003.031        7990.594        7973.844;
   236    2.090        8349.250        8037.875        8025.094        8008.125;
   237    2.098        8384.656        8072.469        8058.469        8041.469;
   238    2.107        8420.063        8106.844        8092.125        8075.063;
   239    2.116        8455.500        8141.156        8125.875        8108.938;
   240    2.125        8490.906        8175.281        8159.625        8142.563;
   241    2.134        8526.313        8209.625        8193.969        8177.406;
   242    2.143        8561.750        8244.219        8229.000        8213.094;
   243    2.152        8597.156        8279.031        8265.469        8250.719;
   244    2.160        8632.563        8314.000        8300.406        8286.000;
   245    2.169        8668.000        8348.750        8335.156        8320.500;
   246    2.178        8703.406        8383.344        8369.844        8354.875;
   247    2.187        8738.813        8417.875        8403.938        8388.563;
   248    2.196        8774.250        8452.344        8438.531        8423.125;
   249    2.205        8809.656        8486.719        8473.000        8457.125;
   250    2.214        8845.063        8521.406        8507.344        8491.500;
   251    2.222        8880.500        8556.156        8541.500        8525.406;
   252    2.231        8915.906        8590.719        8576.375        8560.594;
   253    2.240        8951.313        8625.188        8611.469        8596.469;
   254    2.249        8986.750        8659.406        8646.906        8632.625;
   255    2.258        9022.156        8693.625        8682.000        8668.250;
   256    2.267        9057.563        8727.625        8717.031        8704.000;
   257    2.276        9093.000        8762.000        8751.031        8737.375;
   258    2.284        9128.406        8796.625        8785.781        8771.719;
   259    2.293        9163.813        8831.156        8819.875        8805.719;
   260    2.302        9199.250        8865.688        8854.031        8839.813;
   261    2.311        9234.656        8900.031        8887.906        8873.563;
   262    2.320        9270.063        8934.219        8921.813        8907.438;
   263    2.329        9305.500        8968.313        8955.438        8940.938;
   264    2.338        9340.906        9002.438        8989.594        8975.281;
   265    2.346        9376.313        9037.000        9024.250        9010.375;
   266    2.355        9411.750        9071.500        9059.813        9046.906;
   267    2.364        9447.156        9106.000        9095.656        9083.438;
   268    2.373        9482.563        9140.438        9130.719        9118.563;
   269    2.382        9518.000        9174.594        9164.750        9152.281;
   270    2.391        9553.406        9208.719        9198.469        9185.625;
   271    2.399        9588.813        9242.750        9232.219        9218.969;
   272    2.408        9624.250        9277.125        9266.031        9252.563;
   273    2.417        9659.656        9311.531        9299.719        9286.188;
   274    2.426        9695.063        9346.000        9333.688        9320.000;
   275    2.435        9730.500        9380.406        9367.844        9354.188;
   276    2.444        9765.906        9414.750        9402.188        9388.906;
   277    2.453        9801.313        9449.000        9437.125        9424.500;
   278    2.461        9836.750        9483.063        9472.281        9460.094;
