 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000       10666.656           0.000           0.000           0.000;
     1    0.009       10666.656           6.000           1.469           0.500;
     2    0.018       10666.656          27.125          19.906          17.000;
     3    0.027       10666.656          65.813          55.281          50.344;
     4    0.035       10666.656         120.500         108.750         103.469;
     5    0.044       10666.656         190.781         178.344         172.375;
     6    0.053       10666.656         275.438         260.719         253.375;
     7    0.062       10666.656         373.094         357.625         350.313;
     8    0.071       10666.656         481.750         466.594         459.031;
     9    0.080       10666.656         602.219         585.031         576.875;
    10    0.089       10666.656         734.188         718.125         710.938;
    11    0.097       10666.656         876.000         857.031         847.969;
    12    0.106       10666.656        1026.281        1008.000         999.219;
    13    0.115       10666.656        1186.500        1167.125        1157.625;
    14    0.124       10666.656        1353.563        1332.906        1321.688;
    15    0.133       10666.656        1528.469        1510.375        1499.813;
    16    0.142       10666.656        1711.313        1690.375        1677.031;
    17    0.151       10666.656        1900.406        1880.906        1868.938;
    18    0.159       10666.656        2096.375        2072.969        2059.469;
    19    0.168       10666.656        2297.531        2274.281        2262.875;
    20    0.177       10666.656        2503.406        2479.969        2467.063;
    21    0.186       10666.656        2713.375        2687.813        2673.563;
    22    0.195       10666.656        2927.219        2902.344        2887.906;
    23    0.204       10666.656        3144.438        3116.750        3099.594;
    24    0.213       10666.656        3364.000        3338.438        3321.906;
    25    0.221       10666.656        3584.625        3560.688        3543.313;
    26    0.230       10666.656        3808.000        3781.063        3761.313;
    27    0.239       10666.656        4032.719        4006.469        3985.969;
    28    0.248       10666.656        4257.938        4226.906        4205.781;
    29    0.257       10666.656        4484.250        4459.188        4439.875;
    30    0.266       10666.656        4710.531        4680.750        4660.156;
    31    0.274       10666.656        4936.938        4908.938        4888.750;
    32    0.283       10666.656        5162.875        5135.625        5115.906;
    33    0.292       10666.656        5387.250        5356.250        5334.375;
    34    0.301       10666.656        5609.719        5583.469        5563.750;
    35    0.310       10666.656        5831.094        5799.844        5777.594;
    36    0.319       10666.656        6051.625        6026.063        6005.781;
    37    0.328       10666.656        6270.406        6238.563        6213.500;
    38    0.336       10666.656        6486.375        6459.500        6436.094;
    39    0.345       10666.656        6699.125        6668.906        6644.250;
    40    0.354       10666.656        6909.375        6881.750        6858.125;
    41    0.363       10666.656        7117.500        7088.188        7064.219;
    42    0.372       10666.656        7322.563        7293.375        7268.750;
    43    0.381       10666.656        7524.375        7499.063        7477.750;
    44    0.390       10666.656        7722.938        7695.500        7671.813;
    45    0.398       10666.656        7917.781        7893.750        7872.750;
    46    0.407       10666.656        8108.813        8085.813        8064.063;
    47    0.416       10666.656        8296.031        8272.313        8250.656;
    48    0.425       10666.656        8478.969        8457.250        8436.531;
    49    0.434       10666.656        8657.594        8629.625        8606.031;
    50    0.443       10666.656        8832.188        8813.813        8794.906;
    51    0.452       10666.656        9001.781        8970.813        8944.250;
    52    0.460       10666.656        9167.188        9153.563        9137.000;
    53    0.469       10666.656        9327.813        9296.781        9271.000;
    54    0.478       10666.656        9483.656        9467.969        9453.219;
    55    0.487       10666.656        9634.906        9610.250        9590.906;
    56    0.496       10666.656        9781.219        9755.219        9735.969;
    57    0.505       10666.656        9924.000        9907.188        9893.000;
    58    0.514       10666.656       10061.375       10034.125       10013.438;
    59    0.522       10666.656       10194.031       10174.906       10159.531;
    60    0.531       10666.656       10322.125       10303.875       10288.031;
    61    0.540       10666.656       10444.719       10424.063       10407.406;
    62    0.549       10666.656       10562.156       10540.938       10525.219;
    63    0.558       10666.656       10675.156       10658.875       10645.438;
    64    0.567       10666.656       10782.875       10765.156       10750.719;
    65    0.576       10666.656       10885.313       10864.438       10848.219;
    66    0.584       10666.656       10982.969       10964.781       10950.875;
    67    0.593       10666.656       11075.531       11059.250       11046.344;
    68    0.602       10666.656       11163.250       11145.719       11132.344;
    69    0.611       10666.656       11245.719       11227.469       11213.625;
    70    0.620       10666.656       11323.031       11304.906       11291.000;
    71    0.629       10666.656       11395.875       11379.656       11367.000;
    72    0.638       10666.656       11464.344       11450.094       11439.094;
    73    0.646       10666.656       11528.438       11513.031       11501.344;
    74    0.655       10666.656       11587.906       11571.156       11558.844;
    75    0.664       10666.656       11642.688       11625.688       11612.875;
    76    0.673       10666.656       11693.094       11676.750       11664.281;
    77    0.682       10666.656       11739.406       11724.500       11713.125;
    78    0.691       10666.656       11781.469       11767.906       11756.813;
    79    0.699       10666.656       11819.656       11808.000       11797.594;
    80    0.708       10666.656       11853.875       11842.844       11832.750;
    81    0.717       10666.656       11884.688       11874.156       11864.094;
    82    0.726       10666.656       11912.219       11901.688       11891.313;
    83    0.735       10666.656       11936.563       11926.156       11915.469;
    84    0.744       10666.656       11957.813       11947.563       11936.844;
    85    0.753       10666.656       11976.188       11965.656       11954.969;
    86    0.761       10666.656       11991.469       11980.875       11970.063;
    87    0.770       10666.656       12003.750       11993.000       11982.094;
    88    0.779       10666.656       12012.938       12002.156       11991.344;
    89    0.788       10666.656       12019.344       12008.781       11997.938;
    90    0.797       10666.656       12023.000       12012.594       12001.875;
    91    0.806       10666.656       12024.000       12014.000       12003.469;
    92    0.815       10666.656       12024.000       12014.000       12003.469;
    93    0.823       10666.656       12020.344       12012.531       12003.469;
    94    0.832       10666.656       12014.156       12007.938       11999.438;
    95    0.841       10666.656       12006.281       12001.625       11993.813;
    96    0.850       10666.656       11997.000       11993.594       11986.531;
