R3_GRP_PROJECT
 1.0000000    -0.0442313
 0.9587757    -0.0339494
 0.9201718    -0.0242700
 0.8840601    -0.0151703
 0.8503125    -0.0066273
 0.8188008     0.0013818
 0.7893968     0.0088799
 0.7619725     0.0158899
 0.7363996     0.0224346
 0.7125500     0.0285370
 0.6902956     0.0342199
 0.6695083     0.0395062
 0.6500598     0.0444189
 0.6318220     0.0489807
 0.6146669     0.0532145
 0.5984661     0.0571433
 0.5830916     0.0607899
 0.5684153     0.0641773
 0.5543090     0.0673282
 0.5406445     0.0702655
 0.5272961     0.0730119
 0.5141944     0.0755806
 0.5013260     0.0779764
 0.4886802     0.0802033
 0.4762460     0.0822654
 0.4640128     0.0841668
 0.4519696     0.0859118
 0.4401056     0.0875043
 0.4284100     0.0889486
 0.4168719     0.0902488
 0.4054805     0.0914089
 0.3942251     0.0924332
 0.3830947     0.0933257
 0.3720785     0.0940905
 0.3611657     0.0947319
 0.3503454     0.0952539
 0.3396069     0.0956606
 0.3289393     0.0959562
 0.3183317     0.0961448
 0.3077734     0.0962305
 0.2972557     0.0962159
 0.2867788     0.0960973
 0.2763450     0.0958693
 0.2659569     0.0955266
 0.2556167     0.0950641
 0.2453269     0.0944763
 0.2350898     0.0937579
 0.2249078     0.0929037
 0.2147834     0.0919084
 0.2047190     0.0907666
 0.1947168     0.0894731
 0.1847793     0.0880226
 0.1749090     0.0864097
 0.1651081     0.0846292
 0.1553791     0.0826758
 0.1457244     0.0805441
 0.1361463     0.0782290
 0.1266473     0.0757250
 0.1172298     0.0730268
 0.1078969     0.0701297
 0.0986715     0.0670389
 0.0895960     0.0637695
 0.0807134     0.0603373
 0.0720670     0.0567580
 0.0636999     0.0530474
 0.0556555     0.0492210
 0.0479767     0.0452947
 0.0407069     0.0412842
 0.0338892     0.0372051
 0.0275667     0.0330731
 0.0217828     0.0289040
 0.0165805     0.0247135
 0.0120031     0.0205172
 0.0080936     0.0163310
 0.0048954     0.0121704
 0.0024517     0.0080513
 0.0008054     0.0039892
 0.0000000     0.0000000
 0.0000785    -0.0039007
 0.0002712    -0.0092072
 0.0020698    -0.0140180
 0.0053797    -0.0183585
 0.0101061    -0.0222543
 0.0161543    -0.0257307
 0.0234296    -0.0288132
 0.0318373    -0.0315274
 0.0412827    -0.0338986
 0.0516709    -0.0359523
 0.0629074    -0.0377139
 0.0748975    -0.0392090
 0.0875463    -0.0404631
 0.1007592    -0.0415014
 0.1144414    -0.0423496
 0.1284983    -0.0430331
 0.1428351    -0.0435772
 0.1573572    -0.0440076
 0.1719697    -0.0443497
 0.1865780    -0.0446289
 0.2010894    -0.0448701
 0.2154570    -0.0450867
 0.2296800    -0.0452803
 0.2437596    -0.0454518
 0.2576968    -0.0456024
 0.2714927    -0.0457332
 0.2851486    -0.0458452
 0.2986655    -0.0459396
 0.3120445    -0.0460174
 0.3252868    -0.0460796
 0.3383935    -0.0461274
 0.3513657    -0.0461618
 0.3642046    -0.0461840
 0.3769112    -0.0461949
 0.3894867    -0.0461957
 0.4019323    -0.0461875
 0.4142490    -0.0461713
 0.4264379    -0.0461482
 0.4385003    -0.0461193
 0.4504372    -0.0460856
 0.4622538    -0.0460482
 0.4739713    -0.0460077
 0.4856152    -0.0459645
 0.4972106    -0.0459192
 0.5087830    -0.0458723
 0.5203577    -0.0458244
 0.5319599    -0.0457759
 0.5436150    -0.0457273
 0.5553483    -0.0456792
 0.5671851    -0.0456321
 0.5791508    -0.0455865
 0.5912706    -0.0455429
 0.6035700    -0.0455019
 0.6160742    -0.0454638
 0.6288085    -0.0454294
 0.6417982    -0.0453990
 0.6550687    -0.0453733
 0.6686453    -0.0453526
 0.6825534    -0.0453376
 0.6968170    -0.0453286
 0.7114334    -0.0453252
 0.7263731    -0.0453255
 0.7416053    -0.0453279
 0.7570992    -0.0453306
 0.7728241    -0.0453320
 0.7887492    -0.0453302
 0.8048438    -0.0453235
 0.8210771    -0.0453102
 0.8374183    -0.0452885
 0.8538367    -0.0452568
 0.8703015    -0.0452133
 0.8867820    -0.0451562
 0.9032473    -0.0450838
 0.9196669    -0.0449944
 0.9360098    -0.0448862
 0.9522453    -0.0447576
 0.9683427    -0.0446067
 0.9842712    -0.0444319
 1.0000000    -0.0442313
